,Paylaþým
4585,alemde bana yeþillenmeye kalkan olursa mangizini gören þaþkoloz  olur kalýr gözüne kýlçýk kaçar
4586,çok garip þeyler oluyor çok
4587,takdire sabýr gerek
4588,sortaç danla ya bana makyaj yap ruj filan sür dedi ya  yani bu kafaya gelmek kolay olmamalý
4589,ahmet kaya nin þu kahpe dünya seni bana düþman edermi sorusuna cevapsýn
4590,hilmicem parkurlar bile senin baþ harfinle baþlýyor yiðidim
4591,üst ranzadaki kardeþim sýkýntý yok ben nörologum hallederiz sýkýntý yapma
4592,çok yakýn bir arkadaþýmýn sevgilisi tam 1 kýro pezevenk gömlegi gösteriþli saatler gömlek yarýya kadar açýk parmakt
4593,gavat ebru artýk ikimizin  ben sikerim sen peçete tutarsýn dümbük
4594,ya dur durduðun yerde bi grup andaval iþte ne konuþtuklarýný bilmiyolar
4595,bim e indirimli olarak gelmiþ bim e gittim vee 4 paket aldým çocuklar kadar mutluyum
4596,annem emele ensestimsohbet için sadece anneciler gelsinabazalar deðil
4597,dayý soyadýna noldu ahshdjg süpersin ya
4598,bu benden size gelsin sizi seviyorum be jungkook çok tatlýsýn lan dfkvmc
4599,tanga delisi kuzenim kübraa nasýl göt
4600,asla o kadar andaval deðiliz
4601,büþra tespit cuk oturdu ayný fikirdeyim tek kiþiye oynuyor  gayette baþarýlý
4602,elinin körü olarak yaptý dürzü seni
4603,beyazlar içinde yine süpersin yakýþýklým
4604,hele hele sen kim kopekk trollden anlamayan andaval
4605,bunlarda adam varmýki ya sarhoþ ya dinsiz yada berduþ
4606,sizlere bir dilegimden bahsetmek istiyorum batmanda müzik
4607,iki senedir karadenizde okuma isteðimi arttýrma sebebimsin hadi hayýrlýsý
4608,hep laf  ta benim þeyler  cunku senin gibi lanet biri olduðundan
4609,tramvayda çýplak ayakla yolculuk yapan bir çocuk ve ayaðýndaki ayakkabýyý ona giydirip yoluna çorabýyla devam eden bir gen
4610,herkesi bekleriz
4611,biz bu adamlara mý demokrasi nedir ne iþe yarar nasýl hazmedilir diye anlatacaðýz moral de ihtimal de sýfýr yavv
4612,siktir amk finalde liverpool real i tokatlarken hatýrla beni
4613,iddia oraný gibi tarih yazmýþ bioya ya allahým bu çocuk gerçek bir gerizeka seni alanda ayrý andaval sende ayrý davarsýn valla
4614,maç sonucu galatasaray 20 beþiktaþ
4615,müzigi seviyorum cünkü müzik sonsuzdur müzik herkesten herþeyden kacýþtýr
4616,göt korkusu bu olsa gerek
4617,hacamat deðil de daha çok hacamat olmuþ gibi
4618,þaþýrmadým ama yg senin amk
4619,bence gerçeði bu deðil bu tamamen bilgisayar similasyonu
4620,þu saç týraþýyla astsubay oldum diyecek denyo
4621,amina kodugumun dersleriyle mi ugrasayim yoksa bu iflah olmaz orospu cocuklariyla mi bilemedim
4622,modernleþicem diye gavat olmaya gerek yok geri kafalý olmak gavat olmaktan herzaman daha iyidir
4623,300 lira kira ne kolide mi yaþýyoruz orospu çocuðu
4624,bau týp öðretim üyemiz prof dr timur gürgan ýn baþarýsý tebrikler hocam
4625,siz akþam ayyas kafa ile konusup sabahleyin aksam ne konuþtuðunu bilmeyen sýðýr beyinlersiniz
4626,ulan aptal karý senin bu söylemeninle  ona bakarsan osmanlý padiþahlarýnn eþlerinin hepsi yabancý
4627,þu dünyada herkese hakettiðini vereceksin yoksa ebeni aðlatýyorlar
4628,suriye ve irak bölgesinde yapýlan baþarýlý operasyonlar son dönemlerde arttý
4629,haberden bahsetmiyorum ahmaak herif haber sonuç beðenilmeyince seçimin tekrarlanmasýndan
4630,bir karavan lazým bize sýnýrsýz kahve ve bir sürü kitap bir de deniz manzarasý
4631,ayþe ile alinin bebeði dünyaya geldi
4632,bayadýr tweet atmýyormuþum arkadaþlar mutluyum çünkü 
4633,caným araya dalmak istemiþ alla alla jdjxjsxnjd cüce olmak suç deðil cýným jxxjjdxj
4634,öyle ölmem amk oðlu pompalýyla vur
4635,küçükken çamuru köfte diye yedirdiðim aþýrý dangalak kýz hukuk okuyor ben sosyoloji 
4636,olum bu bildiðin barzo  lan
4637,þeyhlerinin tekkelerinin beyinlerine vurduðu prangalarý kuran balyozuyla kýramayanlar pislik içinde kalmaya mahkumlarba
4638,grup cenabet deðil mi bu ya
4639,sen zahmet etme ben sana bir sokarým zevkin doruklarina cikarsin
4640,çekemiyollar beni dimi aslýnda tam bir sanat eseri çýkardým ortaya afaggsgahsgsg
4641,sanane amýcýk
4642,yoongi oppa sen güzelsin
4643,ne angut insanlar var ya sanki ben sizin anlamsiz sohbetinizi cekmek zorundayim
4644,soðuk bi yalanda ilkbahar kadarýz
4645,kýþ boyu ziyarete gidilecekler listesine  ilk sýradan girdiniz tebrikler  en kýsa zamanda sizi bilgilen
4646,ne diyosuun o zaman oldurmayan þerefiz be kanka
4647,senigidi ahlak yoksunu namus sarhoþu  iðrenç siyonist devþirmesi zavallý pislik
4648,büroda ki sevilay hanýma bu ay içinde yapýlaçak 5 düðün davetiyesi geldi kendisini tebrik ediordum oldukca sevilen
4649,her þey ayrý tebrikler
4650,saç sakal bir birine karýþmýþ göt göbek almýþ baþýný gidiyo akþama kadar pes baþýndan kalkmazdeyyus
4651,sende baþýný mý tutuyordun orda dürzü pezevenk yayýnlasana görelim hayatýn kolpa yalan yavþak ibne
4652,birayý 1tl yapacakmý o önemli
4653, evet yapar o þerefiz ve hazan inanýr ona
4654,everyday çok güzel þarký ya
4655,aceleyle yapýlmýþ bir makyaj gibi eðreti duruyordu yüzündeki mutluluk
4656,bir ay doðarý da açtýðýmýza göre aðýr hassasiyetli efkar moduna geçmiþim demektir hadi hayýrlýsý
4657,zehra bu iþte baþarýlý ol ve dimdik ayakta dur
4658,çün dedin lahmike lahmi kana kaným merhabâ
4659,mutluyum bugün twit atamýyorum
4660,güzel götünü sabaha kadar dölemek istiyorum
4661,etegini beline kilotunu dizlerine siyir domal duzcem seni
4662,tudor hani türkiye nin en güzel hucum oyununu oynatiyorduistanbul bizim karþýmýzdaki oyununu oynamadý bile11 ki
4663,kýz doðduðunda babasýna cennet kapýsý açýlýr
4664,ya sizin o orospu gönlünüzü siksinler tamam mý
4665,yavsak kelimesi nin en çok yakýþtýðý yavsaklardan birisidir kendisi
4666,ulan dombili sneijder niye kilo aldýn sen niye niye
4667,bir insan hem hödük hem hanýmcý nasýl olabilir
4668,hâlâ beþiktaþ o maça çýkacak diyen dangalak var mý
4669,düðün pilavý yaðlý ballý teksir sýkýlgan küçükayý
4670,yandaki angut kim ki acaba
4671,sen hep süpersin kuzum ama senin ali bir türlü cevap vermiyorki dm lere goruselim
4672,murat denen gavat  ulan senin gibi bir karýdan dönme piçin
4673,lan bu ibne daha geçen gün intihar etmemiþmydi gençliði ölüme sürükler bu pezevenk
4674,yaa siz tavuðu beðenmiyorsunuzda her gun biftek yiyorsunuzda madem 100 tl içinmi burda birbirinizi gý
4675,bir bitmediniz oruspu çocuklarý ne kadar hans dürzü varsa hepsi sizsiniz isminizde meymenet yok þerefsizler
4676,bu danla bilic denilen þahýs dedikleri kadar gýcýkmýþ ya komik deðil sempatik deðil sadece itici beyazshow
4677,jiminin söylediði þeyleri söylemeyin
4678,bana bak ayyaþ vildan senin o merinos saçlarýný yolarým þýrfýntý
4679,bide yavþak yandaþlar kalkýp  gidmesine izin vermiþler
4680,aklima soktun baska erkegi gelsin artik gelecekse  icindeki fahise harekete gecti sanirsam
4681,hepinize baþarýlar dilerim
4682,aptal saptal duygular yaþýyorum
4683,herkes þýk þýk giyinip ekran baþýna geçiyor düðün var diye bende pijamalarýmý giydim halvet bekliyorumjabxhsjxjhskz
4684,bunlar varoþ bunlar paçoz
4685,þiþko yanaklý insanlarý üzmeyin þerefsizler
4686,yok mu ayol aðzýma boþal isteyen
4687,þok geliþme acun ilicali sosyal medyadaki tüm hesaplarini gönüllülerfc olarak deyiþti
4688,bu merve niye tayt giyiyor ya survivor
4689,simdi makarnaci komurcu diyen gavat deyyuz pezevenk pic serefsiz godos öt veren ipneler takimi buyrun seyredin
4690,bu akþam da yaðmur damlalý pencereden bakarken radyodaki sanat müziðiyle kahroluyoruz tabi iyi akþamlar
4691,yok yok anlarlar  allahýn anlasýnlar ajajsjdjmem reis sende çok güzelsin
4692,deli kan þarkýna takýldýmm 3 gündür dinliyorum  harikasýn tebrikler
4693,dürzü godos okey plus yöneticileri puanlarýný yedirdiniz amiziza sokuncicuklarin8za kefen parasý yapýn þerefsizler
4694,öyle güzelsin ki tüm bu telaþýn kötülüðün ve kaosun içinden ne zaman kaçmak biraz nefes almak istesem durup sana bakýyorum
4695,murat süpersin bee
4696,dünya ile venüsün yörünge hareketlerinin çizimlendirilmiþ hali
4697,þu enerjiye bakýnhaydi hayýrlýsý
4698,çok sikik insanlarsýnýz
4699,ne konuþuyo bunlar yaa boþ tatava yemekteyiz
4700,bu saatte ders calismaya basliycam serseri ve inek olmak bunu gerektirir
4701,ama pis deðilim baksana þu týrnaklarda pislik ne arar
4702,neden onu en yüksek makama koymuyorsunuz
4703,iyi de problem buraya kadar gelmesinin sebebi de andaval fanlardan kaynaklý fanwar yok yere çýkmýyor
4704,daha dur senin götünü bile sikecekler kerhane çocuðu seni
4705,þuraya biraz sinema kasayým kýzlar ekler belki
4706,en güzel düðün duâsý allah sizi sabah namazý kaçýrýlmayan evlerde yaþatsýn
4707,maþallah çok mutluyum
4708,hollandalardan havlama amcýk pezevenk
4709,ya bu denize kýyýsý olan iþletmeciler neden bu kadar andaval
4710,realciyiz ama bu zirzop her yerde tetikçilik yapýyor
4711,sus lan yarrak sende adamlýk olsa bedelli diye kaypaklýk edip devlete þekil yapmaya çalýþmazsýn cibiliyetsiz
4712,tam orospu çocuklarý ya3 günde 600 binimi yedibir sikim çýkmadý paketlerden
4713,abi resimdeki asifte fanatigin yayin yonetmeni degil mi
4714,ya sussana be kadindus ya susyemekteyiz
4715,hele düneke bak onlar bari karþlýkli senýn zorlan evde kacisen peþinden kaltak
4716,titrek serap
4717,amk þahin k kýlýklýsýna bak ya hahahahahhahah utanmaz orospu çocuðu bundan etkileneninde anasýný sikim
4718,ebeni amna engelle piç takibi birakmisim ben  ebeni de engelle satilik kahpe
4719,delta bizim  izmir bizim  uzayan yol bizim biz memnunuz  flamingolarýmýza dokunmayýn
4720,al bu gol sana gelsin gerizeka ultraslancýklar hahahah hadi arabesk söylemeye devam
4721,sanat öylesi mucizevi bir þey ki tanýmadýðýn görmediðin ve hatta senden yüzyýllar önce yaþamýþ insanlarla ayný þeyleri hissediyorsun
4722,senin canýn salatalýk cekmiþ ama aradýðýn salatalýk deðil kaltak
4723,sosyal medya sms ve epostayý geride býraktý
4724,layýk olduðunuzla yönetilirsiniz   hadisi islamdaki demokrasi anlayýþýnýn özüdür sözüdüryaþasýn demokrasi
4725,edepsiz barýþ sayko barýþ barzo barýþ
4726,þiþko yanaklarýmý nasýl yok edebilirim enter
4727,bize karþý savunma oynayýp 1 puan aldýðý için sevinen baþakþehir gs ye 5 atýp þov yapýyor  siz neyin kafasýný yaþ
4728,survivor ödül oyunu gönüllüler kazandý tbrklr gönüllüler
4729,mutluyum mutlusun mutluyuz
4730,futbolun içine sýçtýnýz beþiktaþ camiasý da bembeyaz formasýyla sizin o boku temizlemenize izin vermedi
4731,hade hayirlisi elinize kuvet
4732,kaza ve kaderine rýza gösteren hayýrlý ömür salih evlât dünya ve ahirette güzellik ihsan et ana ve babamýzý da maðfiret
4733,gidenler sanýyorki hergün ayný þarký çalýyor
4734,kaybetmekorkusu nankörlüðün aynadaki yansýmasý olmalý beklentiler sevgi olmalý insan hayatýnda
4735,babam sadece aracý oluyor ahshahshh o manevi destekçi  ee düðün de yapmayiversinler nikahtan 2 evetl
4736,herkese hayýrlý huzurlu akþamlar
4737,ey peygamber  biz seni bir þahit  bir müjdeleyici  bir uyarýcý  allah ýn izniyle kendi yoluna
4738,korkma lan yalaka doðrularý konuþ bi mahkmeye verdiler diye yalama
4739,politik pezevenk
4740,her dönemde liderlerin etrafýnda yavþak insanlar toplanýr bugün yok mu
4741,senin gibi lanet ordan bir dahada benim seylerimi bozmak gibi sakýn
4742,yavass kessin birde trabzonlusun biz trabzonlulari hem delikanlý ham milli
4743,dalyarak bu þimdi mi söylenir
4744,konuþarak laf anlatamadiðim ne yaparsam yapayim andaval andaval bakan baðnaz kapali düz ve boþ amk çocuklarini sevmiyorum
4745,natonun soytarý benzeri özür dilemis þerefli biri olsa böyle kahbelik olmaz sizin ne mal olduðunuzu bilmeyen duymay
4746,19 05 aþkýn saati galatasaray
4747,puþt 7 sülalendir anonim çocuðu
4748,cerez tüket cüce yürüü
4749,rabbim þükür edenlerden eylesin bizleri
4750,flört  hala çok güzelsin
4751,insan onun kemiklerini  bizim kesin olarak bir araya  getiremiyeceðimizi mi sanýyor 
4752,her biri aþagilik birer militansoytari yurtdisina kacip burada ki enayilere gaz veren hainler
4753,yavþak abi akli dengesi bozuk kýzkardeþini gene sikiyor kýzý az kalsýn bogucaktý
4754,eskort yada kerhane pezevenk desen daha dogru olmazmi
4755,fesli dümbük sesi kes tatava yapma
4756,diyarbakýr
4757,güzelsin güzel
4758,ben nasýl çýplaklar plajýna mayo ile giremiyorsam  sende haþema ile halk plajlarýna giremezsin sapýk kocaný da al baþka yere git
4759,trileçe ne güzel tatlýsýn
4760,cerrahpaþaduruþu hababam sýnýfý gibi birbirine baðlý olan bizlerin duruþudur
4761,mümkünse mercann düðün bittikten sonra intihar ett içine etme düðünün
4762,lebron reyis parkeye kanýný akýt o þerefizin
4763,kitabýný siktiðim çocuðu burnunu sümkürüyomuþ ben lavaboya sýçýyo sandým savaþ veriyor orospu oðlu
4764,yaþayan efsanelerde bugün  cerrahpaþaduruþu
4765,cibiliyetsiz kemal
4766,hadi beni arayýn telefonda size þarký söylim bugün pek iletiþim kurmadým
4767,sonuçta sanat eseridir yýkýlmasýna karþýyýz
4768,þahin abd tarafýndan özgürlük ve demokrasi yanlýsý gösterilerek türkiye ye iade edilmiyor
4769,konuþma lan sikik
4770,bütün yüzler asýk kýyametin kehaneti gibi
4771,erkekler cumadayken size öðüt vereyim kýzlar boþuna okuyup sabahlara kadar ders çalýþarak gençliðinizi heba etmeyin tek
4772,çünkü sen gözümün nurusun
4773,bana dönek demiþ ittin birisi açýðým neyimiþ sor hele helee
4774,yaptý yine bücür yapacaðýný
4775,takipçi sayýmý mutlaka arttýrmam lazým
4776,benche müzik ritmi tutan hilmi
4777,her nefes bizi istikametten ayýrma
4778,seni seviyorum  1 cümle 2 kelime 13 harf 2 insan ve bir aptal  cemal safi
4779,aa tamam sýkýldým dmden salla az da andaval
4780,ya bu embesil keþke ölse de dünya bir oksijen israfýndan kurtulsa
4781,mood on abim televizyonumu bilgisayar olarak kullanýyo ve ders çalýþýcam diyo vermiyo babamýn ne izliyceðini allah bilir 
4782,saygý kaideleri çorba etikleri ideolojiler felsefeler 11 çok fena kültürleniyorum
4783,survivor hakan kaleci oldu nerdeyse tüm þutlarý yedi kaleci hatasý gönüllüleri kaybettirdi
4784,sen yýllarca oku eðitimini al çalýþ didin ama elin cahili senin yerine çalýþsýn gaza gelir kitap ister okuyamaz
4785,toplum içinde herkes deðerini kendi belirliyor sen ezik ezik davranýrsan ezilirsin tabi ne bekliyosun baþka
4786,yarak baþý
4787,düðün sezonu açýldý evlenicek olan arkadaþlarýnýzý tagleyin bu fýrsatý
4788,antalyada eticaret konferansi vesilesiyle bir yorum elektronik ticaret konusunda turkiyede piyasa cok daha buyuyor
4789,asýl yavþak sensin karaktersiz pust
4790,herkes arkamdan konuþuyor egosu var bir de pardon ama sen kimsin ya ezik
4791,acele etme 15  2 yýlda öðreneceðin bir iþ dedikleri iþe stajdaki 4ayým bitmeden baþladým 
4792,merhaba arkadaþlar
4793,ebeni nerde ve nasil ebeleyebilirimmciler susmucaniz mi
4794,amk mikahýnýzamý alcaksýnýz yarak yarak sorular soruyorsunuz alt tarafý bir ilþki
4795,hayýrlý akþamlar
4796,allahým ne olur baþýma biþey atsýnlar
4797,atmde sýra bekleyen teyze temiz yüzlü çocuk diye seni seçiyor kanki   bizde cezaevinden yeni çýkmýþýz
4798,konuþabilir miyim diyeceði sürede yorum yapsa biter zaten oyy  yemekteyiz
4799,ben ulaþ abiyle konuþtum ben gelemedim dedim üzüldü tam 12 de çýkýp happy birthday  to me diye þarký söylicekmiþ
4800,müzik iyi bir sýðýnaktýr insan yaþadýklarýna katlanamadýðý zamanlarda ona destek verir
4801,aþaðýlýk sahtekar þerefsiz utanmaz þu an itibarýyla kimse ülkesine istemiyor bu rezil herifi bunun asýl adý dalyarak
4802,talebimiz net emri verenden tetiði çekene valisinden emniyet müdürüne tüm sorumlular yargýlansýnlar  adalet istiyoruz
4803,asaletin ete kemiðe bürünmüþ hali
4804,bu kýzlar spora giderken niye makyaj yapýyor aq
4805,64 yaþýn altýndakiler amk bu nasýl soru
4806,görene oluyor gibiköre düðümlenir
4807,bu sarhoþ kadýn minik asferimize zarar vermeye kalkabilir
4808,bunlarý mý sorayým kalkmýþ bir de üç büyütülmüþler falan yazýyor dingil
4809,vay andaval vay
4810,fenerbahçe kullanmaktan vazgecin orosbu cocuklari derim
4811,bazi insanlar döl israfý aq
4812,bae bae 100m olmuþ acayip mutluyum
4813,bu yalaka ne diyor
4814,floryadan içeriye sokmayýn bu kahpe çocuðunu
4815,lavuk oyle bi bakiyo ki dellendim amk is koyuyo sanki
4816,siktir oradan pezevenk
4817,kahbe yarak doymamis tam bir fahise
4818,baþiboþ örümceklere sokayim yataðimda ne iþin var kevaþe
4819,game ower pislik
4820,tivit resmen yaniyorum diye bagiriyor cakmak tutsan alev alir adam oyle kizismis hale bak
4821,vay amk süper bu kýz sabaha kadar sikerim bunu
4822,vatan haini serefiz
4823,tebrikler sonunda adminin gerçekte olmadýðýný aslýnda onun da sen olduðunu keþfettin sevgili dj
4824,amina koyduðum papazý ibne göt lalesi
4825,bu insan musvettesi orospu cocuklarina her sey mustehakcok sinirlendim ya piclere
4826,akardý resmen pezevenk
4827,hayýrlý mübarek olsun inþallah rabbim hakkýyla ve samimiyetle hizmet etmeyi nasip etsin
4828,bffim gavat deðil sadece orospu biraz teþekkür ederim doðancým iyi geceler
4829,nerede bitmiþ bir pislik varsa gündem olmak için millete ve milletin deðerlerine saldýrýyorlarpavyonda bile iþ bulamay
